iter	Logloss
0	0.6796220389
1	0.6670489584
2	0.6553753686
3	0.6448377082
4	0.6340100847
5	0.6245148066
6	0.615410206
7	0.6069033611
8	0.5984333976
9	0.5903852937
10	0.5831690867
11	0.5762945621
12	0.5710405337
13	0.5641419438
14	0.558150854
15	0.5505518469
16	0.5441689627
17	0.537923166
18	0.5323060365
19	0.5278464872
20	0.5238429773
21	0.5195831049
22	0.5159038982
23	0.5121078094
24	0.5090278453
25	0.5052417007
26	0.5022150178
27	0.4989292863
28	0.4955394518
29	0.4927268558
30	0.4895403665
31	0.4869374225
32	0.4845936625
33	0.4822828818
34	0.4796932175
35	0.4773761184
36	0.4744318983
37	0.4715883355
38	0.4695843626
39	0.4680811112
40	0.4664105768
41	0.4638960298
42	0.4617565426
43	0.4595317333
44	0.457050601
45	0.4548589206
46	0.4529224865
47	0.4508625336
48	0.4488140648
49	0.4472317886
50	0.4454393412
51	0.4438895306
52	0.4424485829
53	0.4408751149
54	0.4391707762
55	0.4377762289
56	0.436657752
57	0.4353867219
58	0.4343618667
59	0.4328308101
60	0.4319314394
61	0.430130767
62	0.4288933631
63	0.4275563074
64	0.4262057293
65	0.425277723
66	0.4236982847
67	0.4220522546
68	0.4210335216
69	0.4202209535
70	0.4191432968
71	0.4176586752
72	0.4169801089
73	0.4160174628
74	0.4153218287
75	0.414504868
76	0.4125514992
77	0.4117501494
78	0.4106520251
79	0.4099115901
80	0.408832582
81	0.4076626263
82	0.4067237169
83	0.4052823811
84	0.4041836461
85	0.4023172672
86	0.4012736143
87	0.4005355874
88	0.3994226085
89	0.3982053617
90	0.3969396893
91	0.3962399312
92	0.3952032768
93	0.3946515824
94	0.3936365961
95	0.3926396854
96	0.3921046872
97	0.3907957247
98	0.3898627219
99	0.3894442134
100	0.3881098539
101	0.3869492669
102	0.3863947708
103	0.3851779738
104	0.3845037412
105	0.3839524198
106	0.3832459644
107	0.3824956108
108	0.3817374839
109	0.3811323395
110	0.3796815001
111	0.3790597778
112	0.3784334874
113	0.3772780161
114	0.3767870469
115	0.3758309972
116	0.374737117
117	0.3744232791
118	0.3737349846
119	0.3732899295
120	0.3729223154
121	0.3725113694
122	0.3719487894
123	0.3710811337
124	0.3702670459
125	0.3699886873
126	0.3694841603
127	0.3687786967
128	0.368453673
129	0.3681713375
130	0.3675794043
131	0.3668860733
132	0.3665529555
133	0.3661171923
134	0.365587677
135	0.3651843412
136	0.3648884263
137	0.3644370845
138	0.3640392848
139	0.363350738
140	0.3629679469
141	0.3625849557
142	0.3620918175
143	0.3613870806
144	0.3607757986
145	0.3601734446
146	0.3597355048
147	0.35922834
148	0.3590097011
149	0.358266148
150	0.3577335851
151	0.3574036959
152	0.3569068748
153	0.3564962906
154	0.355876466
155	0.3556359414
156	0.3553843558
157	0.3551185223
158	0.3547669642
159	0.3545719897
160	0.3541870536
161	0.3538462544
162	0.3534786994
163	0.3531580002
164	0.3528027324
165	0.3522840859
166	0.3519103972
167	0.3515964067
168	0.3511655212
169	0.3506524464
170	0.3503156087
171	0.3499552683
172	0.3497120135
173	0.3494579084
174	0.3492427252
175	0.3488708714
176	0.3486720162
177	0.3484293
178	0.348110615
179	0.34751291
180	0.3471817778
181	0.3469275136
182	0.3466243264
183	0.3465130544
184	0.3461244407
185	0.3459005905
186	0.3456840877
187	0.3453651803
188	0.3450664603
189	0.3448033699
190	0.3446216638
191	0.3444161127
192	0.3442351978
193	0.3437320899
194	0.3435496331
195	0.3433130721
196	0.342961746
197	0.3426829303
198	0.3423298991
199	0.342065787
200	0.3417913747
201	0.3414555446
202	0.3412492217
203	0.3409495283
204	0.3406196856
205	0.3403975377
206	0.3401427158
207	0.3398897736
208	0.3393592844
209	0.3391262927
210	0.3387517339
211	0.3385026905
212	0.3383825396
213	0.3382669935
214	0.3380541148
215	0.3378910348
216	0.3377348649
217	0.3376138421
218	0.3373668538
219	0.3372004915
220	0.3370427226
221	0.3368976742
222	0.3366442177
223	0.3364772522
224	0.3362682918
225	0.3360492081
226	0.3358789155
227	0.3355778124
228	0.3353607653
229	0.3352060379
230	0.3347852447
231	0.334613628
232	0.3340997402
233	0.3339212337
234	0.3336330881
235	0.3333906032
236	0.3332450242
237	0.3330161205
238	0.3326967304
239	0.3325947083
240	0.3322843162
241	0.3320767535
242	0.3319584976
243	0.3316537612
244	0.3313785996
245	0.3312333596
246	0.3310321569
247	0.3308507221
248	0.33062223
249	0.3304170388
250	0.3302647758
251	0.3300761211
252	0.3299757876
253	0.3296046723
254	0.3294598409
255	0.329309624
256	0.3291318477
257	0.3289574692
258	0.3287092
259	0.3284551897
260	0.32832633
261	0.3280985148
262	0.3278576188
263	0.3276780649
264	0.3274717289
265	0.3273122065
266	0.3270061348
267	0.3267910052
268	0.3266626742
269	0.3265188998
270	0.3262907788
271	0.3260909068
272	0.3258983286
273	0.3257839323
274	0.3256019533
275	0.3253030641
276	0.3249883608
277	0.3248465287
278	0.3246636025
279	0.3245075174
280	0.324307713
281	0.3241757517
282	0.3239703928
283	0.3237971224
284	0.3235625458
285	0.3234163837
286	0.3232631051
287	0.3230093848
288	0.3229114374
289	0.3226592891
290	0.3224016714
291	0.3222379498
292	0.3220604306
293	0.3218800718
294	0.3216982835
295	0.3214295825
296	0.3212617406
297	0.3211142488
298	0.320901613
299	0.3208026095
300	0.3206219638
301	0.3203845407
302	0.3202174524
303	0.3200335656
304	0.3198276877
305	0.3196915712
306	0.3195198108
307	0.3193168739
308	0.3191377445
309	0.3188355952
310	0.318629029
311	0.3185143955
312	0.3183994013
313	0.3182184495
314	0.3181150586
315	0.3179041278
316	0.3177027277
317	0.3175319341
318	0.3173269656
319	0.3170846365
320	0.3168640891
321	0.3167177507
322	0.3164498246
323	0.3163005436
324	0.3161442217
325	0.3158920283
326	0.3157392706
327	0.3156146694
328	0.3153736894
329	0.3151209817
330	0.3149948439
331	0.314797687
332	0.3146292282
333	0.3144543609
334	0.3143081116
335	0.314178159
336	0.3140529779
337	0.3140128555
338	0.3138825384
339	0.3136214262
340	0.3134945594
341	0.3133327915
342	0.3132366491
343	0.313045571
344	0.312721429
345	0.3125759459
346	0.3124511657
347	0.3123199747
348	0.3121580298
349	0.311931377
350	0.3116682251
351	0.3115424158
352	0.3114370894
353	0.3113101868
354	0.3111184508
355	0.3108242529
356	0.3106563084
357	0.3104942147
358	0.3103017055
359	0.3102073843
360	0.3099989588
361	0.3097832655
362	0.3095147929
363	0.3093919297
364	0.3092222774
365	0.3089983684
366	0.3088185101
367	0.3086837279
368	0.3085015283
369	0.308351104
370	0.3082630169
371	0.3080901667
372	0.3078736453
373	0.3076449689
374	0.3074951228
375	0.3072573455
376	0.3070565468
377	0.3068512723
378	0.3066462883
379	0.3064977614
380	0.3063052144
381	0.3061841818
382	0.3060118325
383	0.3058434005
384	0.3057285678
385	0.3055395037
386	0.3052700771
387	0.3051196846
388	0.3049830373
389	0.3047537734
390	0.3045998204
391	0.3044790529
392	0.3043220736
393	0.3040256532
394	0.3038424707
395	0.30371222
396	0.3034826323
397	0.3033657438
398	0.3031861797
399	0.3029446019
400	0.3027574239
401	0.3025825661
402	0.3024376045
403	0.3022787897
404	0.3021147854
405	0.3020141864
406	0.3018791031
407	0.3017292238
408	0.3015266605
409	0.3014358306
410	0.3012896433
411	0.3011150894
412	0.3009521445
413	0.3007598987
414	0.3005862591
415	0.3003488493
416	0.3002370324
417	0.3000956248
418	0.2999909003
419	0.2998672276
420	0.2997453981
421	0.2995456212
422	0.2993823786
423	0.2992599581
424	0.2991137153
425	0.2989782982
426	0.2988366107
427	0.2985413724
428	0.2984005378
429	0.2982852777
430	0.2981613008
431	0.2980443313
432	0.2978862378
433	0.2976905341
434	0.2975716707
435	0.2974411552
436	0.2973432923
437	0.297241306
438	0.2970459709
439	0.2968678629
440	0.2967210194
441	0.2966155089
442	0.2965118801
443	0.2964036158
444	0.2962438462
445	0.2961554987
446	0.296062644
447	0.2959089941
448	0.2957289456
449	0.2955491022
450	0.2954184419
451	0.2952083385
452	0.294971688
453	0.2948306874
454	0.2947007189
455	0.2945505946
456	0.2943764105
457	0.294275664
458	0.2941298598
459	0.2940174816
460	0.2939051581
461	0.2937560133
462	0.2935920642
463	0.2934097914
464	0.293241615
465	0.2931227162
466	0.2929786659
467	0.2928976609
468	0.2927339001
469	0.2926378393
470	0.2923657586
471	0.2922205835
472	0.292052633
473	0.2919415921
474	0.2918642477
475	0.291712678
476	0.2915360132
477	0.2914460106
478	0.2913094307
479	0.291181882
480	0.2910353529
481	0.2909272832
482	0.2908652262
483	0.290742831
484	0.2906412586
485	0.2905677675
486	0.2904487137
487	0.2902945181
488	0.290203277
489	0.2899726271
490	0.2898720231
491	0.2897510542
492	0.289644383
493	0.2894798873
494	0.2893661572
495	0.2892109846
496	0.2890314599
497	0.2889175427
498	0.288708005
499	0.2885832876
500	0.2885054644
501	0.2884206201
502	0.2883057413
503	0.2882459092
504	0.2881058358
505	0.2880322921
506	0.2879502227
507	0.2878141083
508	0.2877137169
509	0.2874824029
510	0.2873607528
511	0.2872445495
512	0.2871460768
513	0.2869873806
514	0.2869164824
515	0.2867793326
516	0.2867028962
517	0.2866264536
518	0.2865249531
519	0.2863756413
520	0.2863025886
521	0.2861440686
522	0.2860153135
523	0.2858808302
524	0.2857314978
525	0.2856244302
526	0.285501563
527	0.2852895058
528	0.2852048561
529	0.2851039718
530	0.2849807939
531	0.2849268791
532	0.2847182583
533	0.28451532
534	0.2843947
535	0.284302738
536	0.2841766167
537	0.284003844
538	0.2838521193
539	0.2837311087
540	0.28364771
541	0.2834310839
542	0.2833661982
543	0.2832236574
544	0.2830650769
545	0.2829716653
546	0.282757122
547	0.2826337715
548	0.2825367173
549	0.2823834221
550	0.2822630579
551	0.2821653893
552	0.2820314767
553	0.2819517703
554	0.2818675428
555	0.2818206973
556	0.2817298759
557	0.2816460468
558	0.2815091558
559	0.2814162161
560	0.2813153145
561	0.2811725369
562	0.2810429356
563	0.2809233015
564	0.2807954019
565	0.2805840327
566	0.2805074382
567	0.2803167682
568	0.2801847695
569	0.2800765983
570	0.2799539381
571	0.2798348873
572	0.2797396989
573	0.2795975893
574	0.2795107102
575	0.2793081779
576	0.2792142146
577	0.2790479538
578	0.2789577786
579	0.278855655
580	0.2787925633
581	0.2785762898
582	0.278492916
583	0.278406835
584	0.2782228101
585	0.2781286253
586	0.277960658
587	0.2778441005
588	0.2777814361
589	0.2776490998
590	0.2775423755
591	0.277452337
592	0.2773263928
593	0.2772443613
594	0.2771529383
595	0.2770619299
596	0.2769655499
597	0.2768479907
598	0.2766675918
599	0.2765870121
600	0.2764313476
601	0.2763372389
602	0.2761993218
603	0.2760270916
604	0.2759625642
605	0.2757728897
606	0.2757100188
607	0.2756343402
608	0.2755529143
609	0.2753663754
610	0.2752615031
611	0.2750772209
612	0.2748974325
613	0.2748228623
614	0.2747490227
615	0.2746676235
616	0.2745207229
617	0.274429405
618	0.2743106307
619	0.2742267592
620	0.2741852476
621	0.2741114752
622	0.2739441451
623	0.2737895593
624	0.2736090192
625	0.2734945717
626	0.2733209712
627	0.2732174567
628	0.2730478433
629	0.2729649386
630	0.2728524404
631	0.2727809853
