iter	Passed	Remaining
0	5	5125
1	9	4513
2	12	4171
3	16	3996
4	19	3977
5	23	3885
6	27	3832
7	30	3835
8	35	3860
9	39	3878
10	43	3876
11	47	3888
12	51	3875
13	54	3867
14	58	3858
15	62	3850
16	66	3874
17	70	3860
18	74	3826
19	77	3812
20	82	3831
21	85	3820
22	89	3806
23	93	3801
24	97	3800
25	100	3780
26	104	3762
27	108	3755
28	112	3755
29	116	3751
30	120	3754
31	124	3773
32	128	3775
33	132	3774
34	137	3784
35	141	3782
36	146	3805
37	150	3808
38	154	3804
39	159	3818
40	163	3826
41	167	3821
42	172	3828
43	176	3835
44	180	3836
45	185	3839
46	189	3834
47	192	3819
48	196	3814
49	200	3801
50	203	3790
51	207	3779
52	211	3779
53	215	3778
54	219	3769
55	222	3757
56	226	3747
57	229	3733
58	233	3718
59	236	3712
60	240	3700
61	243	3689
62	247	3679
63	250	3665
64	254	3656
65	257	3641
66	260	3629
67	263	3614
68	266	3599
69	269	3585
70	272	3569
71	276	3558
72	279	3546
73	282	3536
74	286	3529
75	289	3523
76	294	3527
77	297	3521
78	301	3512
79	304	3501
80	307	3493
81	311	3485
82	314	3477
83	318	3471
84	321	3465
85	326	3468
86	329	3462
87	333	3451
88	336	3441
89	339	3436
90	343	3432
91	346	3422
92	350	3413
93	353	3404
94	357	3402
95	360	3395
96	363	3385
97	367	3381
98	371	3378
99	374	3374
100	378	3372
101	383	3374
102	387	3372
103	392	3377
104	396	3381
105	400	3376
106	404	3373
107	408	3373
108	412	3373
109	416	3371
110	420	3370
111	424	3368
112	428	3362
113	431	3356
114	435	3347
115	439	3348
116	443	3347
117	448	3350
118	452	3349
119	456	3347
120	459	3341
121	463	3333
122	466	3328
123	470	3325
124	474	3321
125	478	3317
126	482	3313
127	485	3308
128	488	3301
129	492	3294
130	495	3288
131	499	3282
132	502	3278
133	506	3273
134	510	3270
135	513	3263
136	516	3256
137	520	3248
138	523	3241
139	526	3234
140	529	3227
141	533	3222
142	536	3217
143	540	3211
144	543	3206
145	547	3200
146	550	3194
147	553	3186
148	556	3179
149	560	3175
150	563	3170
151	567	3166
152	571	3161
153	574	3156
154	577	3150
155	580	3142
156	584	3136
157	587	3129
158	590	3124
159	594	3118
160	597	3113
161	600	3108
162	604	3104
163	608	3100
164	611	3095
165	615	3090
166	618	3084
167	621	3078
168	624	3072
169	628	3066
170	631	3060
171	634	3054
172	638	3052
173	642	3048
174	646	3046
175	650	3044
176	654	3042
177	657	3037
178	661	3032
179	665	3030
180	669	3030
181	673	3026
182	676	3022
183	680	3016
184	685	3018
185	689	3015
186	692	3009
187	695	3003
188	699	3001
189	703	2998
190	706	2993
191	710	2989
192	715	2990
193	718	2986
194	722	2981
195	725	2975
196	728	2971
197	732	2968
198	736	2965
199	740	2960
200	744	2958
201	748	2956
202	751	2950
203	754	2945
204	758	2940
205	762	2937
206	765	2933
207	769	2928
208	772	2923
209	776	2921
210	780	2917
211	783	2911
212	786	2906
213	790	2901
214	793	2897
215	797	2894
216	800	2889
217	804	2886
218	809	2885
219	812	2881
220	815	2876
221	819	2871
222	823	2867
223	826	2863
224	829	2858
225	833	2853
226	836	2849
227	839	2844
228	843	2839
229	846	2835
230	849	2829
231	852	2823
232	856	2817
233	859	2814
234	863	2810
235	867	2808
236	870	2803
237	874	2800
238	877	2795
239	881	2790
240	884	2785
241	888	2781
242	891	2778
243	895	2774
244	899	2772
245	903	2767
246	906	2764
247	910	2761
248	914	2757
249	917	2753
250	921	2750
251	925	2747
252	929	2744
253	933	2742
254	937	2740
255	942	2737
256	945	2734
257	949	2729
258	952	2726
259	957	2724
260	961	2721
261	965	2718
262	969	2715
263	973	2715
264	978	2713
265	982	2711
266	986	2708
267	990	2706
268	995	2704
269	999	2702
270	1004	2702
271	1009	2701
272	1013	2699
273	1017	2696
274	1022	2695
275	1026	2692
276	1030	2689
277	1034	2687
278	1038	2684
279	1042	2680
280	1046	2676
281	1049	2672
282	1052	2667
283	1056	2663
284	1060	2659
285	1064	2656
286	1068	2653
287	1072	2651
288	1076	2647
289	1080	2644
290	1084	2642
291	1088	2639
292	1092	2636
293	1096	2632
294	1100	2629
295	1104	2626
296	1107	2621
297	1110	2617
298	1114	2612
299	1118	2608
300	1121	2605
301	1125	2601
302	1129	2597
303	1133	2595
304	1137	2591
305	1140	2587
306	1144	2582
307	1147	2578
308	1151	2575
309	1155	2571
310	1158	2566
311	1162	2563
312	1166	2559
313	1169	2554
314	1172	2550
315	1176	2545
316	1179	2541
317	1183	2539
318	1187	2534
319	1190	2530
320	1194	2527
321	1199	2524
322	1202	2520
323	1206	2516
324	1209	2512
325	1214	2510
326	1217	2506
327	1221	2502
328	1225	2498
329	1229	2495
330	1232	2491
331	1235	2486
332	1239	2482
333	1243	2478
334	1247	2475
335	1250	2471
336	1254	2467
337	1256	2461
338	1260	2458
339	1264	2453
340	1267	2449
341	1270	2444
342	1274	2440
343	1277	2436
344	1281	2432
345	1284	2428
346	1288	2425
347	1292	2421
348	1295	2417
349	1299	2412
350	1302	2408
351	1305	2403
352	1309	2399
353	1312	2395
354	1316	2391
355	1319	2387
356	1323	2383
357	1327	2380
358	1331	2376
359	1334	2373
360	1338	2368
361	1341	2364
362	1344	2360
363	1348	2355
364	1351	2351
365	1355	2347
366	1359	2344
367	1362	2340
368	1366	2337
369	1370	2333
370	1373	2329
371	1377	2324
372	1380	2321
373	1384	2317
374	1387	2312
375	1391	2309
376	1395	2306
377	1399	2302
378	1402	2298
379	1406	2294
380	1409	2289
381	1413	2285
382	1416	2281
383	1419	2277
384	1423	2274
385	1427	2271
386	1431	2267
387	1434	2263
388	1438	2258
389	1441	2254
390	1444	2250
391	1448	2246
392	1451	2242
393	1455	2238
394	1459	2236
395	1463	2232
396	1467	2228
397	1470	2224
398	1474	2220
399	1477	2216
400	1481	2212
401	1484	2208
402	1489	2206
403	1493	2202
404	1496	2198
405	1500	2194
406	1503	2190
407	1507	2186
408	1510	2182
409	1514	2179
410	1518	2175
411	1522	2172
412	1525	2168
413	1528	2164
414	1532	2159
415	1535	2155
416	1539	2152
417	1542	2148
418	1546	2144
419	1549	2140
420	1554	2137
421	1557	2133
422	1560	2128
423	1564	2124
424	1567	2120
425	1571	2117
426	1574	2113
427	1578	2109
428	1581	2105
429	1585	2101
430	1588	2097
431	1592	2093
432	1595	2089
433	1599	2086
434	1603	2082
435	1606	2078
436	1610	2074
437	1613	2070
438	1617	2067
439	1620	2063
440	1624	2058
441	1627	2054
442	1631	2050
443	1635	2047
444	1638	2043
445	1642	2039
446	1645	2036
447	1649	2032
448	1653	2028
449	1656	2024
450	1659	2020
451	1662	2016
452	1666	2012
453	1670	2008
454	1673	2004
455	1676	2000
456	1680	1996
457	1684	1992
458	1687	1989
459	1691	1985
460	1695	1982
461	1698	1978
462	1702	1974
463	1705	1970
464	1709	1966
465	1713	1963
466	1717	1959
467	1720	1956
468	1724	1952
469	1728	1948
470	1732	1945
471	1735	1941
472	1738	1937
473	1742	1933
474	1746	1930
475	1749	1926
476	1753	1922
477	1757	1918
478	1760	1914
479	1763	1910
480	1767	1906
481	1771	1903
482	1774	1899
483	1778	1896
484	1782	1892
485	1786	1889
486	1790	1885
487	1793	1881
488	1797	1877
489	1800	1874
490	1803	1869
491	1807	1866
492	1811	1862
493	1814	1858
494	1818	1854
495	1821	1850
496	1824	1846
497	1828	1842
